Product,State,Unit,Flow,Country,2018,2019,2020,2021,2022,2023,2024
0--All Merchandise,UNITED STATES,Millions of USD,Exports,Canada,"$299,732","$292,820","$256,212","$309,604","$359,237","$354,356","$348,503"
0--All Merchandise,Unallocated,Millions of USD,Exports,Canada,"$23,138","$23,468","$21,562","$24,998","$26,004","$25,708","$43,204"
0--All Merchandise,Texas,Millions of USD,Exports,Canada,"$27,544","$28,531","$23,360","$29,050","$38,420","$36,072","$36,555"
0--All Merchandise,Michigan,Millions of USD,Exports,Canada,"$23,894","$23,257","$18,164","$22,945","$28,034","$27,962","$23,299"
0--All Merchandise,Ohio,Millions of USD,Exports,Canada,"$21,175","$20,702","$17,504","$18,420","$20,243","$21,832","$19,891"
0--All Merchandise,Illinois,Millions of USD,Exports,Canada,"$17,699","$15,685","$13,273","$18,680","$24,519","$20,753","$19,831"
0--All Merchandise,California,Millions of USD,Exports,Canada,"$17,688","$16,664","$16,029","$18,054","$20,588","$19,386","$18,364"
0--All Merchandise,New York,Millions of USD,Exports,Canada,"$16,809","$16,489","$17,493","$21,751","$22,776","$21,741","$17,435"
0--All Merchandise,Pennsylvania,Millions of USD,Exports,Canada,"$10,850","$11,219","$9,729","$12,156","$13,833","$14,415","$14,511"
0--All Merchandise,Indiana,Millions of USD,Exports,Canada,"$13,377","$13,304","$11,231","$13,596","$15,101","$15,050","$13,896"
0--All Merchandise,Kentucky,Millions of USD,Exports,Canada,"$7,775","$7,811","$6,647","$8,459","$8,935","$9,182","$9,319"
0--All Merchandise,North Carolina,Millions of USD,Exports,Canada,"$6,682","$6,659","$5,921","$6,587","$7,580","$7,769","$8,655"
0--All Merchandise,New Jersey,Millions of USD,Exports,Canada,"$7,060","$7,185","$7,248","$9,943","$10,106","$8,794","$8,425"
0--All Merchandise,Washington,Millions of USD,Exports,Canada,"$9,274","$8,561","$6,290","$7,738","$9,697","$9,623","$7,942"
0--All Merchandise,Wisconsin,Millions of USD,Exports,Canada,"$7,040","$6,754","$6,240","$7,538","$8,647","$8,480","$7,941"
0--All Merchandise,Tennessee,Millions of USD,Exports,Canada,"$7,878","$7,065","$5,893","$7,462","$8,779","$8,914","$7,785"
0--All Merchandise,Minnesota,Millions of USD,Exports,Canada,"$4,831","$4,749","$4,956","$6,606","$8,997","$7,048","$7,536"
0--All Merchandise,Georgia,Millions of USD,Exports,Canada,"$6,318","$5,991","$5,253","$6,308","$7,188","$7,835","$7,411"
