Product,State,Unit,Flow,Country,2018,2019,2020,2021,2022,2023,2024
0--All Merchandise,UNITED STATES,Millions of USD,Imports,Canada,"$318,575","$318,589","$270,026","$357,275","$437,429","$418,619","$412,696"
0--All Merchandise,Illinois,Millions of USD,Imports,Canada,"$38,042","$37,343","$28,604","$45,450","$67,953","$65,425","$63,816"
0--All Merchandise,Michigan,Millions of USD,Imports,Canada,"$47,257","$45,056","$33,252","$37,793","$45,806","$50,788","$44,813"
0--All Merchandise,Texas,Millions of USD,Imports,Canada,"$20,192","$18,883","$15,125","$21,235","$32,902","$36,962","$38,560"
0--All Merchandise,New York,Millions of USD,Imports,Canada,"$17,033","$16,808","$15,209","$17,940","$22,880","$22,517","$20,496"
0--All Merchandise,Ohio,Millions of USD,Imports,Canada,"$12,242","$11,948","$10,601","$14,388","$17,061","$17,897","$19,026"
0--All Merchandise,Washington,Millions of USD,Imports,Canada,"$13,772","$14,633","$12,776","$18,768","$23,328","$19,891","$17,791"
0--All Merchandise,California,Millions of USD,Imports,Canada,"$27,095","$26,907","$26,519","$28,026","$23,779","$15,683","$16,267"
0--All Merchandise,Minnesota,Millions of USD,Imports,Canada,"$9,704","$9,266","$7,466","$12,107","$17,079","$14,193","$14,707"
0--All Merchandise,Pennsylvania,Millions of USD,Imports,Canada,"$11,734","$10,919","$9,916","$12,960","$14,195","$13,628","$14,242"
0--All Merchandise,Indiana,Millions of USD,Imports,Canada,"$7,973","$7,750","$7,470","$10,471","$11,308","$11,119","$10,671"
0--All Merchandise,Massachusetts,Millions of USD,Imports,Canada,"$7,424","$8,102","$7,812","$11,470","$13,438","$11,315","$10,602"
0--All Merchandise,New Jersey,Millions of USD,Imports,Canada,"$8,426","$8,578","$6,934","$8,557","$9,608","$8,917","$10,171"
0--All Merchandise,Oklahoma,Millions of USD,Imports,Canada,"$4,310","$4,910","$4,351","$8,425","$9,485","$9,022","$8,956"
0--All Merchandise,Montana,Millions of USD,Imports,Canada,"$3,987","$4,063","$3,432","$5,975","$7,732","$6,818","$6,766"
0--All Merchandise,Georgia,Millions of USD,Imports,Canada,"$4,586","$5,208","$4,335","$4,974","$6,277","$6,536","$6,519"
0--All Merchandise,Florida,Millions of USD,Imports,Canada,"$4,820","$4,701","$4,310","$5,218","$5,797","$6,034","$6,445"
0--All Merchandise,Wisconsin,Millions of USD,Imports,Canada,"$4,792","$4,329","$4,210","$5,527","$6,142","$6,254","$6,251"
0--All Merchandise,Tennessee,Millions of USD,Imports,Canada,"$5,214","$6,075","$5,466","$6,906","$7,491","$6,764","$5,964"
0--All Merchandise,Kentucky,Millions of USD,Imports,Canada,"$4,002","$4,081","$3,640","$4,525","$5,125","$6,002","$5,841"
0--All Merchandise,Connecticut,Millions of USD,Imports,Canada,"$3,577","$4,278","$4,029","$4,253","$4,204","$5,837","$5,740"
