Product,State,Unit,Flow,Country,2018,2019,2020,2021,2022,2023,2024
0--All Merchandise,UNITED STATES,Millions of USD,Exports,Mexico,"$265,968","$256,676","$212,513","$277,195","$324,207","$322,742","$334,041"
0--All Merchandise,Texas,Millions of USD,Exports,Mexico,"$110,039","$108,785","$89,265","$124,393","$144,891","$129,598","$123,525"
0--All Merchandise,California,Millions of USD,Exports,Mexico,"$30,763","$27,859","$24,070","$27,209","$30,704","$33,254","$33,517"
0--All Merchandise,Michigan,Millions of USD,Exports,Mexico,"$12,284","$11,209","$8,904","$10,691","$11,729","$14,854","$17,081"
0--All Merchandise,Illinois,Millions of USD,Exports,Mexico,"$10,189","$9,305","$7,076","$8,950","$11,543","$12,917","$12,999"
0--All Merchandise,Ohio,Millions of USD,Exports,Mexico,"$6,867","$6,883","$5,132","$6,335","$7,297","$8,278","$9,559"
0--All Merchandise,Unallocated,Millions of USD,Exports,Mexico,"$7,406","$7,128","$5,844","$7,870","$9,412","$9,408","$9,306"
0--All Merchandise,Arizona,Millions of USD,Exports,Mexico,"$7,653","$7,808","$6,654","$7,427","$8,042","$7,979","$8,950"
0--All Merchandise,Indiana,Millions of USD,Exports,Mexico,"$5,416","$5,749","$4,788","$5,315","$5,884","$7,178","$7,480"
0--All Merchandise,Louisiana,Millions of USD,Exports,Mexico,"$9,297","$8,529","$5,040","$7,060","$9,149","$7,018","$7,250"
0--All Merchandise,New Mexico,Millions of USD,Exports,Mexico,"$1,510","$2,388","$2,198","$2,482","$3,165","$3,461","$6,959"
0--All Merchandise,Tennessee,Millions of USD,Exports,Mexico,"$4,866","$4,195","$3,328","$4,062","$4,800","$6,088","$6,711"
0--All Merchandise,Georgia,Millions of USD,Exports,Mexico,"$3,908","$3,514","$3,108","$3,708","$4,648","$4,881","$6,366"
0--All Merchandise,Oregon,Millions of USD,Exports,Mexico,$464,$530,$435,$562,"$5,227","$6,568","$6,263"
0--All Merchandise,Pennsylvania,Millions of USD,Exports,Mexico,"$4,211","$4,241","$3,807","$4,853","$5,246","$5,377","$5,146"
0--All Merchandise,North Carolina,Millions of USD,Exports,Mexico,"$3,775","$3,778","$3,469","$4,567","$5,233","$5,368","$5,022"
0--All Merchandise,Florida,Millions of USD,Exports,Mexico,"$3,334","$3,321","$2,649","$3,338","$4,035","$4,254","$4,501"
0--All Merchandise,Wisconsin,Millions of USD,Exports,Mexico,"$3,455","$3,286","$2,583","$3,110","$3,611","$4,326","$4,358"
0--All Merchandise,Washington,Millions of USD,Exports,Mexico,"$2,226","$2,527","$1,254","$2,808","$3,005","$3,511","$4,315"
0--All Merchandise,Missouri,Millions of USD,Exports,Mexico,"$2,609","$2,336","$2,196","$3,306","$3,376","$3,873","$4,255"
0--All Merchandise,Minnesota,Millions of USD,Exports,Mexico,"$2,343","$2,426","$1,936","$2,449","$2,797","$3,338","$4,204"
0--All Merchandise,Alabama,Millions of USD,Exports,Mexico,"$2,602","$2,233","$1,848","$2,469","$2,750","$3,184","$4,201"
0--All Merchandise,Kentucky,Millions of USD,Exports,Mexico,"$2,274","$2,199","$2,177","$2,794","$3,530","$3,733","$4,153"
0--All Merchandise,New York,Millions of USD,Exports,Mexico,"$3,516","$3,136","$2,251","$2,949","$3,217","$3,482","$3,747"
0--All Merchandise,South Carolina,Millions of USD,Exports,Mexico,"$2,770","$2,197","$1,816","$2,118","$2,373","$3,038","$3,610"
0--All Merchandise,Massachusetts,Millions of USD,Exports,Mexico,"$2,512","$1,941","$2,055","$2,794","$2,883","$2,737","$3,542"
0--All Merchandise,New Jersey,Millions of USD,Exports,Mexico,"$2,954","$2,861","$2,824","$3,235","$3,406","$3,264","$3,542"
0--All Merchandise,Iowa,Millions of USD,Exports,Mexico,"$2,336","$2,093","$2,002","$2,954","$3,499","$3,241","$3,174"
0--All Merchandise,Kansas,Millions of USD,Exports,Mexico,"$2,105","$2,212","$2,079","$2,759","$3,122","$2,828","$3,110"
0--All Merchandise,Colorado,Millions of USD,Exports,Mexico,"$1,254","$1,059","$1,048","$1,419","$1,442","$1,606","$1,736"
0--All Merchandise,Nebraska,Millions of USD,Exports,Mexico,"$1,774","$1,739","$1,641","$1,799","$1,959","$1,458","$1,732"
0--All Merchandise,Connecticut,Millions of USD,Exports,Mexico,$948,$810,$754,$979,"$1,137","$1,074","$1,670"
0--All Merchandise,Mississippi,Millions of USD,Exports,Mexico,"$1,170","$1,429","$1,216","$1,670","$2,177","$1,959","$1,644"
0--All Merchandise,Arkansas,Millions of USD,Exports,Mexico,$870,$745,$712,$983,"$1,029","$1,106","$1,597"
0--All Merchandise,Virginia,Millions of USD,Exports,Mexico,"$1,110","$1,044",$869,$924,"$1,130","$1,237","$1,309"
0--All Merchandise,Puerto Rico,Millions of USD,Exports,Mexico,$495,$453,$296,$540,$521,$706,"$1,142"
0--All Merchandise,Utah,Millions of USD,Exports,Mexico,$725,$766,$945,"$1,143","$1,083","$1,351","$1,093"
0--All Merchandise,Nevada,Millions of USD,Exports,Mexico,$631,$820,"$1,652","$1,641","$1,212",$853,$897
0--All Merchandise,North Dakota,Millions of USD,Exports,Mexico,$228,$229,$253,$457,$450,$539,$696
0--All Merchandise,New Hampshire,Millions of USD,Exports,Mexico,$420,$409,$342,$400,$552,$699,$618
0--All Merchandise,Oklahoma,Millions of USD,Exports,Mexico,$783,$821,$505,$744,$795,$629,$606
0--All Merchandise,Maryland,Millions of USD,Exports,Mexico,$422,$408,$293,$365,$451,$525,$554
0--All Merchandise,South Dakota,Millions of USD,Exports,Mexico,$334,$316,$314,$425,$522,$509,$419
0--All Merchandise,Delaware,Millions of USD,Exports,Mexico,$156,$164,$153,$261,$243,$333,$399
0--All Merchandise,Idaho,Millions of USD,Exports,Mexico,$228,$258,$225,$234,$203,$284,$305
0--All Merchandise,West Virginia,Millions of USD,Exports,Mexico,$235,$120,$112,$194,$246,$246,$253
0--All Merchandise,Rhode Island,Millions of USD,Exports,Mexico,$199,$188,$171,$165,$150,$220,$188
0--All Merchandise,Maine,Millions of USD,Exports,Mexico,$50,$51,$47,$56,$78,$100,$82
0--All Merchandise,Montana,Millions of USD,Exports,Mexico,$39,$54,$60,$88,$119,$61,$74
0--All Merchandise,Vermont,Millions of USD,Exports,Mexico,$46,$47,$42,$48,$52,$85,$68
0--All Merchandise,Wyoming,Millions of USD,Exports,Mexico,$35,$46,$42,$49,$41,$67,$68
